dataset,forecaster,coverage,horizon_hours,window,method,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,forecaster_key,window_order
London,lightgbm_quantile,0.8,1.0,2013-03,raw,743743,0.7862742909849235,0.3808925692279942,0.6568959561021109,0.0373281142920749,0.051532686782704,0.0196139368634149,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,rolling_global_norm,743743,0.7945526882269817,0.3823098109675931,0.6568297297007072,0.0354694288808543,0.0499559141325148,0.0081409367900465,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,rolling_group_norm,743743,0.7945513436765119,0.3821209205675268,0.6568568159627298,0.0354855935778892,0.0500985273247732,0.0156126206664644,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,rolling_user_norm,743743,0.7948175646695163,0.3809369540410132,0.6559613458987453,0.0265550664867221,0.0423839458608752,0.0151369261935421,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,aci_global,743743,0.798704660077473,0.3832821510757684,0.6568003434414501,0.0347792956733026,0.049431155925515,0.0026704503514398,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,aci_segment,743743,0.7987060046279427,0.3833386352504828,0.6567980402199972,0.0348146425549112,0.0493806236556206,0.0026048373206919,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,aci_user,743743,0.8006919056717172,0.3840898095292202,0.653749984654451,0.0053658462391073,0.0116603034930297,0.0011600873030934,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,pid_global,743743,0.7999429910600839,0.3840420839314865,0.6567978713395177,0.0339125801412324,0.0479334502105967,0.0022029575073609,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,pid_segment,743743,0.7999268564544473,0.3848663409313104,0.6568673111788053,0.0335853842123559,0.0472106803558179,0.0001008392427298,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-03,pid_user,743743,0.7998112251140514,0.3960885240790376,0.657945214132475,0.0008561508759119,0.0011345760643754,0.0002317011450623,lgbm,0
London,lightgbm_quantile,0.8,1.0,2013-04,raw,719519,0.7853718942793727,0.3254301385672893,0.5561474191479109,0.0363450987710138,0.0475078234858754,0.0193821212691298,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,rolling_global_norm,719519,0.7969018191319479,0.3276314694249553,0.5560590433410613,0.034157066104265,0.0459468670542437,0.0043023705338883,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,rolling_group_norm,719519,0.7969059885840402,0.3275802773027239,0.5560580781783522,0.0339498769261822,0.0458988286578988,0.0053174869332636,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,rolling_user_norm,719519,0.7946225186548236,0.3272712906030834,0.5563624711564996,0.0319511595742441,0.0469137504702588,0.0062633416067636,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,aci_global,719519,0.7993048133544771,0.3281396975293838,0.5560586090428475,0.0339336796037232,0.0456064088373312,0.0053101093706316,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,aci_segment,719519,0.7992575595640977,0.3279960028176931,0.5560542514877359,0.0337308119514893,0.0456481433097238,0.0010273440375602,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,aci_user,719519,0.8004180570631213,0.327728404324472,0.5535310820413347,0.0053717251504131,0.0076930835883164,0.0021077779378001,lgbm,1
London,lightgbm_quantile,0.8,1.0,2013-04,pid_global,719519,0.7999566376982401,0.3284619671385537,0.5560804124355605,0.0332476189040551,0.0445663930343931,0.0047763874651597,lgbm,1
