forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Follow-the-leader,rolling_user_norm,0.0360372550805877
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Global-CQR,rolling_global_norm,0.0424798197205388
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Segment-CQR,rolling_group_norm,0.0415324135846639
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,User-CQR,rolling_user_norm,0.0360372550805877
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Ex-post best fixed,rolling_user_norm,0.0360372550805877
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Month-wise oracle,rolling_user_norm,0.0360372550805877
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,CSGR,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Mean-fold minimum,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Latest-fold minimum,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Previous-window winner,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Follow-the-leader,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Global-CQR,rolling_global_norm,0.0438061854899157
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Segment-CQR,rolling_group_norm,0.0409165779597222
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,User-CQR,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Ex-post best fixed,rolling_user_norm,0.035146285701265
