forecaster,environments,conflicts,gcr,weighted_mean_group_conflicts,weighted_mean_group_gcr,mean_delta_user_gap,mean_delta_group_gap,mean_delta_weighted_mean_group_gap
lightgbm_quantile,140,55,0.39285714285714285,56,0.4,-0.013040649876809004,-0.0019415075197973387,-0.0008426017067650724
persistence_quantile_interval,140,40,0.2857142857142857,51,0.36428571428571427,-0.014322957855235074,-0.004703878304637627,-0.0024589352472348626
