forecaster_key,windows,static_conflicts,aci_conflicts,pid_conflicts,static_gcr,aci_gcr,pid_gcr
lgbm,35,11,2,0,0.3142857142857143,0.05714285714285714,0.0
persistence,35,9,2,0,0.2571428571428571,0.05714285714285714,0.0
