left,right,scope,contrast,block_months,resample_datasets,mean_delta,ci95_low,ci95_high
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,False,-0.0003272151800160678,-0.0009088446811571983,7.703622177638461e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,True,-0.0003272151800160678,-0.0011808080565345726,7.879890313213954e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,False,-0.0004332968284711041,-0.0010989891306155111,4.854588335534297e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,True,-0.0004332968284711041,-0.0012723912669430923,0.00011250059765510626
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,False,-0.0004332968284711041,-0.001043895879042666,3.339152573057034e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,True,-0.0004332968284711041,-0.001195903318375549,0.00010553071732238532
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,False,-0.017323203108996977,-0.021318570596579416,-0.013045404185606726
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,True,-0.017323203108996977,-0.03469465048324372,-0.005424582792130263
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,False,-0.017323203108996977,-0.02114803491098743,-0.013312683752462163
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,True,-0.017323203108996977,-0.0340856390700589,-0.00548646840987996
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,2,False,-0.0003095226311288435,-0.0006492851273947194,-2.56319884974349e-05
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,2,True,-0.0003095226311288435,-0.0008599186594762997,1.0330199587237077e-05
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,3,False,-0.0003095226311288435,-0.0006013834044561277,-3.434832453819066e-05
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,3,True,-0.0003095226311288435,-0.0008057947144076644,1.343863984473891e-05
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,2,False,-0.0023123963982344124,-0.004202117248030917,-0.0008530496445131281
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,2,True,-0.0023123963982344124,-0.004380015079351866,-0.000625520189697999
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,3,False,-0.0023123963982344124,-0.0040374363310822885,-0.0008261527000180215
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,3,True,-0.0023123963982344124,-0.004273543294760202,-0.0006120077620801901
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,2,False,-0.0019674536691122713,-0.0038141065406639154,-0.0005481576776606386
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,2,True,-0.0019674536691122713,-0.00406692690854913,-0.00044619507189432294
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,3,False,-0.0019674536691122713,-0.003681145089469705,-0.0005701065208585528
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,3,True,-0.0019674536691122713,-0.003961698987008015,-0.0004967272155051123
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,2,False,-0.00015500062772486232,-0.00046714410842330566,5.302027919863143e-05
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,2,True,-0.00015500062772486232,-0.0005905482225450981,4.834548293932603e-05
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,3,False,-0.00015500062772486232,-0.000431071137616313,4.413860521437163e-05
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,3,True,-0.00015500062772486232,-0.0005594514853643353,4.462982786093244e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,2,False,-0.0002909951602976106,-0.0006499426098064574,-6.87123897816195e-06
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,2,True,-0.0002909951602976106,-0.0007258832098303686,6.744379734624557e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,3,False,-0.0002909951602976106,-0.0006154712243501911,-2.098267870866961e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,3,True,-0.0002909951602976106,-0.0007029467936676662,5.78326081691302e-05
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,2,False,-0.014009077171063927,-0.01643293488920726,-0.011469715060751527
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,2,True,-0.014009077171063927,-0.026003393314838585,-0.005927858059199052
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,3,False,-0.014009077171063927,-0.016356396779353785,-0.011557275383854652
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,3,True,-0.014009077171063927,-0.025735882280939076,-0.00598471873178179
