kind,comparison,stratum,metric,block_months,estimate,ci_low,ci_high
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,relative_mpiw_change,2,0.005967897702266023,-0.08102976709577163,0.09775200955341487
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,relative_winkler_interval_score_change,2,-0.006128239393870778,-0.012083773957784658,-0.0011645305495568445
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_picp,3,-0.0011542179056204434,-0.020868041463237823,0.018895595940213727
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_mpiw,3,-0.0014696457177031848,-0.05097013472369751,0.04821793488599331
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_winkler_interval_score,3,-0.007200934273479204,-0.013234733836682167,-0.001031947424958296
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_macro_user_abs_coverage_gap,3,-0.007152652195604515,-0.01288104289287668,-0.0011236853829771282
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_max_abs_cluster_coverage_gap,3,-0.018109686365548567,-0.028924829623466767,-0.006794576892963433
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,delta_joint_loss,3,-0.01263116928057654,-0.02097414838951822,-0.004026945375556396
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,relative_mpiw_change,3,0.005967897702266023,-0.08676449619829019,0.10486032806217127
paired_metric,aci_global_vs_static_global,Ausgrid|persistence,relative_winkler_interval_score_change,3,-0.006128239393870778,-0.01142980139285732,-0.001001725271577805
paired_metric,aci_global_vs_static_global,London|lgbm,delta_picp,2,0.0014849926488215855,-0.0026020808620672024,0.005188807693346378
paired_metric,aci_global_vs_static_global,London|lgbm,delta_mpiw,2,0.00028698881537414766,-0.0005279958558249999,0.0009986020299928764
paired_metric,aci_global_vs_static_global,London|lgbm,delta_winkler_interval_score,2,-2.9247950732205005e-05,-6.119590895380376e-05,-6.300954457285422e-06
paired_metric,aci_global_vs_static_global,London|lgbm,delta_macro_user_abs_coverage_gap,2,-0.0005210116671509726,-0.0008104147160880217,-0.0002634414509749554
paired_metric,aci_global_vs_static_global,London|lgbm,delta_max_abs_cluster_coverage_gap,2,-0.004091710895729508,-0.007998874332606426,-0.00032520448748491685
paired_metric,aci_global_vs_static_global,London|lgbm,delta_joint_loss,2,-0.0023063612814402407,-0.0043849330138845816,-0.0003391394020466249
