forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-10,3,Month-wise oracle,rolling_user_norm,0.0171016466965412
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,CSGR,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Mean-fold minimum,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Latest-fold minimum,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Previous-window winner,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Follow-the-leader,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Global-CQR,rolling_global_norm,0.0243555516438812
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Segment-CQR,rolling_group_norm,0.0234087715575487
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,User-CQR,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Ex-post best fixed,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-11,4,Month-wise oracle,rolling_user_norm,0.0179451945246782
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,CSGR,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Mean-fold minimum,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Latest-fold minimum,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Previous-window winner,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Follow-the-leader,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Global-CQR,rolling_global_norm,0.024534011526692
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Segment-CQR,rolling_group_norm,0.0216451792714064
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,User-CQR,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Ex-post best fixed,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Month-wise oracle,rolling_user_norm,0.015906022791858
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,CSGR,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Mean-fold minimum,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Latest-fold minimum,rolling_user_norm,0.0190928802693381
