source,variant,layout,threshold_se,fallback,efficiency_weight,windows,mean_router_loss,mean_best_fixed_loss,mean_global_loss,mean_oracle_loss,mean_delta_best_fixed,mean_delta_global,mean_router_user_gap,mean_router_segment_gap,mean_router_interval_score,strict_conflict_rate_vs_global,selected_global,selected_segment,selected_user,block_months,delta_best_ci_low,delta_best_ci_high
lgbm,expanding_k0.5_global_eta0,expanding,0.5,global,0.0,35,0.021847563537927096,0.021940736121974686,0.0313502140137973,0.021771445559085726,-9.317258404759144e-05,-0.009502650475870199,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,2,-0.0002795177521427743,0.0
lgbm,expanding_k0.5_global_eta0,expanding,0.5,global,0.0,35,0.021847563537927096,0.021940736121974686,0.0313502140137973,0.021771445559085726,-9.317258404759144e-05,-0.009502650475870199,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,3,-0.0002795177521427743,0.0
lgbm,expanding_k0.5_global_eta0.01,expanding,0.5,global,0.01,35,0.04064129291146204,0.04073495695199446,0.05018875364164224,0.040568062328991045,-9.366404053241715e-05,-0.00954746073018021,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,2,-0.00028099212159725146,0.0
lgbm,expanding_k0.5_global_eta0.01,expanding,0.5,global,0.01,35,0.04064129291146204,0.04073495695199446,0.05018875364164224,0.040568062328991045,-9.366404053241715e-05,-0.00954746073018021,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,3,-0.00028099212159725146,0.0
lgbm,expanding_k0.5_history_best_eta0,expanding,0.5,history_best,0.0,35,0.021847563537927096,0.021940736121974686,0.0313502140137973,0.021771445559085726,-9.317258404759144e-05,-0.009502650475870199,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,2,-0.0002795177521427743,0.0
lgbm,expanding_k0.5_history_best_eta0,expanding,0.5,history_best,0.0,35,0.021847563537927096,0.021940736121974686,0.0313502140137973,0.021771445559085726,-9.317258404759144e-05,-0.009502650475870199,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,3,-0.0002795177521427743,0.0
lgbm,expanding_k0.5_history_best_eta0.01,expanding,0.5,history_best,0.01,35,0.04064129291146204,0.04073495695199446,0.05018875364164224,0.040568062328991045,-9.366404053241715e-05,-0.00954746073018021,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,2,-0.00028099212159725146,0.0
lgbm,expanding_k0.5_history_best_eta0.01,expanding,0.5,history_best,0.01,35,0.04064129291146204,0.04073495695199446,0.05018875364164224,0.040568062328991045,-9.366404053241715e-05,-0.00954746073018021,0.030422081943902515,0.01327304513195168,180.6017128273366,0.2857142857142857,0,1,34,3,-0.00028099212159725146,0.0
lgbm,expanding_k0_global_eta0,expanding,0.0,global,0.0,35,0.022027066258415544,0.021940736121974686,0.0313502140137973,0.021771445559085726,8.633013644085716e-05,-0.00932314775538175,0.030781518261180217,0.013272614255650865,180.9650550137458,0.3142857142857143,0,1,34,2,0.0,0.0002589904093225715
lgbm,expanding_k0_global_eta0,expanding,0.0,global,0.0,35,0.022027066258415544,0.021940736121974686,0.0313502140137973,0.021771445559085726,8.633013644085716e-05,-0.00932314775538175,0.030781518261180217,0.013272614255650865,180.9650550137458,0.3142857142857143,0,1,34,3,0.0,0.0002589904093225715
lgbm,expanding_k0_global_eta0.01,expanding,0.0,global,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
