dataset,forecaster,coverage,horizon_hours,window,raw_picp,raw_mpiw,raw_winkler_interval_score,raw_macro_user_abs_coverage_gap,raw_max_abs_cluster_coverage_gap,global_picp,global_mpiw,global_winkler_interval_score,global_macro_user_abs_coverage_gap,global_max_abs_cluster_coverage_gap,segment_picp,segment_mpiw,segment_winkler_interval_score,segment_macro_user_abs_coverage_gap,segment_max_abs_cluster_coverage_gap,user_picp,user_mpiw,user_winkler_interval_score,user_macro_user_abs_coverage_gap,user_max_abs_cluster_coverage_gap,delta_user_gap_user_minus_global,delta_segment_gap_user_minus_global,personalization_conflict,reverse_conflict,window_order
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,0.7672483547308232,0.5900453044611073,0.9875725129869316,0.0463138778005538,0.0464488636363636,0.7903473046355234,0.5961529663429094,0.987035303522908,0.0392171935124249,0.0161443595548009,0.7905248678390333,0.5958990484177601,0.9870107291276692,0.0389461286726363,0.0143282624633431,0.7910418240011508,0.5967308885848074,0.9856568742933758,0.0269491494947315,0.0137707722385141,-0.012268044017693398,-0.0023735873162868005,0,0,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,0.7757893695831984,0.5517756463329008,0.8977903774299724,0.044654223756608,0.0393313172043011,0.8071281511849534,0.5606638467964359,0.8975868864925733,0.0379953788614377,0.0119249528877064,0.8069685690653433,0.5600969433278394,0.8975463521971658,0.0379140144567914,0.0081494057724956,0.808285683460999,0.5613808815785815,0.8966500892406493,0.0258478081058726,0.0116293988269794,-0.012147570755565103,-0.0002955540607269998,0,0,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-09,0.7868334262356002,0.4109556963587099,0.6434612487243528,0.0385056670382757,0.0173374368686869,0.8152104236343367,0.4186116690373967,0.6436674994609267,0.0406749349684132,0.0259943181818181,0.8146530100334448,0.4180925917921559,0.6435830355722605,0.0396576551467855,0.0250552398989898,0.8142767558528428,0.4186851842692227,0.6435365521608878,0.0353748606465997,0.0277777777777776,-0.005300074321813501,0.0017834595959594982,1,0,2
Ausgrid,lightgbm_quantile,0.8,1.0,2012-10,0.7797092458733412,0.3709421777677003,0.60365527843066,0.040818858560794,0.0238132331378299,0.7970924587334125,0.3752912063739654,0.6034666449270617,0.0366346603373251,0.0103671477079796,0.7968384759233287,0.3749659216437284,0.6034504618987951,0.0364615924047901,0.0054788826072498,0.7951460064012659,0.3746521455102637,0.6026868330308179,0.02739418132125,0.0068091120718324,-0.009240479016075099,-0.0035580356361472,0,0,3
Ausgrid,lightgbm_quantile,0.8,1.0,2012-11,0.7778753251579339,0.3623329857673456,0.6079622496893056,0.0418989223337049,0.0240609217171717,0.7931832961724266,0.3663617040334639,0.6077222454178571,0.0370517465626161,0.0116593567251462,0.792985878855444,0.36623742139381,0.6077126334295578,0.0369611668524712,0.0098563762626262,0.7932251021924935,0.3660661309671306,0.6066329793118836,0.0253553511705685,0.0105350378787879,-0.011696395392047605,-0.0011243188463582986,0,0,4
Ausgrid,lightgbm_quantile,0.8,1.0,2012-12,0.7796238357248175,0.3952224260170045,0.6600768133046961,0.0438954220160391,0.0216268156951519,0.8000908044736936,0.401108331806177,0.659851026328109,0.0397678642068543,0.0093001588465297,0.7999222318121336,0.4010363710345866,0.6598288545736664,0.0396613262847484,0.0036290322580645,0.8006347322616607,0.4001942649048083,0.6587902967649849,0.0257165461934045,0.0060954993903115,-0.014051318013449797,-0.0032046594562182,0,0,5
Ausgrid,lightgbm_quantile,0.8,1.0,2013-01,0.7731191786240874,0.4413605133409093,0.7779631923455843,0.049177365411587,0.0287786830728301,0.7932467544143561,0.4472789974131369,0.7775243540410982,0.0436306505556155,0.0120413601207319,0.7931950587981443,0.4473876299414421,0.7775081162601631,0.0435672672348689,0.0088737390533201,0.7939187974251087,0.4460509425830024,0.7759647548830915,0.0279956485776962,0.0101901119609799,-0.015635001977919297,-0.0018512481597519996,0,0,6
Ausgrid,lightgbm_quantile,0.8,1.0,2013-02,0.7802720377448639,0.3773386061765092,0.630284069083547,0.0467854156712852,0.0236624053030303,0.806935817805383,0.3845330551944709,0.6301545211579419,0.0426739926739926,0.0149942505411254,0.807226966873706,0.3848065167838249,0.6301375526813927,0.0425052755215798,0.0109009502923975,0.8010655558209906,0.3827044664017657,0.6284264307962734,0.0295772615066093,0.004976663961039,-0.013096731167383299,-0.010017586580086401,0,0,7
Ausgrid,lightgbm_quantile,0.8,1.0,2013-03,0.7837549897507822,0.374987114695157,0.6243265155383708,0.043693134822167,0.0180932306940372,0.806779767684396,0.381603467018302,0.6242502563930049,0.0408125651814291,0.0138288123167155,0.8067527960585464,0.3818584265149203,0.6242435846495445,0.0401976121120581,0.0096801906662231,0.8049794116589348,0.3797178954232325,0.6225374940244036,0.0244736037688351,0.0088141558585522,-0.016338961412594003,-0.0050146564581633,0,0,8
Ausgrid,lightgbm_quantile,0.8,1.0,2013-04,0.777457264957265,0.368052850642862,0.598108669814273,0.0444258639910814,0.0238852339181286,0.7942563173541435,0.3725225823271034,0.5978286562346962,0.0402243589743589,0.0116532651072125,0.79423541434411,0.3727064802900668,0.5978177510163615,0.0403010033444816,0.0093384502923976,0.7913368636194723,0.370888923442457,0.5970679365733601,0.0293060200668896,0.0137548732943469,-0.0109183389074693,0.0021016081871343996,1,0,9
Ausgrid,lightgbm_quantile,0.8,1.0,2013-05,0.7686171647426907,0.4392099123919797,0.7346082188542785,0.0503996295896716,0.0337564149560117,0.7883671377710648,0.4443708518688767,0.7341114765669166,0.0419031179199482,0.0164626957177891,0.7883603948646024,0.4443832108589703,0.7341012853156808,0.0417696083719926,0.0131674608993157,0.7835482072859352,0.4430764254941681,0.7327517345057389,0.0308941993023339,0.016909518572825,-0.011008918617614296,0.0004468228550359027,1,0,10
Ausgrid,lightgbm_quantile,0.8,1.0,2013-06,0.7611482720178372,0.5571408523978555,0.9493792317914518,0.0546125975473801,0.0439236111111112,0.7880968970642883,0.5647936699727094,0.9484923478783398,0.0427327201783723,0.0165021929824561,0.7880829617242661,0.5648143669983011,0.948483267720218,0.0424586584912672,0.0154750631313131,0.7854189892233371,0.5642415321512665,0.9467195189708104,0.030309364548495,0.0161512027491409,-0.012423355629877297,-0.0003509902333152029,0,0,11
Ausgrid,lightgbm_quantile,0.8,6.0,2012-07,0.7532163663825655,0.6491795528440202,1.0589473412772743,0.0668774948753911,0.060661045943304,0.7830492322077175,0.6578466983538547,1.0577232457650263,0.0578883015068148,0.0303810601773251,0.7830672132916172,0.6576297858655469,1.057592033344092,0.0570261085338224,0.0222094941348973,0.7829256122559067,0.6578930287502258,1.0549750367486015,0.0409406804042147,0.0227288000977518,-0.016947621102600105,-0.0076522600795733,0,0,0
Ausgrid,lightgbm_quantile,0.8,6.0,2012-08,0.7584938145071385,0.5998449603019577,0.9709483194330222,0.065786043082677,0.0499312683284457,0.8010010968461179,0.6136214850439049,0.9698740444396432,0.0573798863595497,0.0170463120166006,0.8008932103427194,0.6129484380598216,0.9696427738996634,0.0569132772323515,0.0041300097751709,0.8017877692667315,0.6130592600379798,0.966559230154363,0.0358097781134246,0.0056191959921798,-0.021570108246125104,-0.0114271160244208,0,0,1
Ausgrid,lightgbm_quantile,0.8,6.0,2012-09,0.7778149386845039,0.4461672058881065,0.6996926836102063,0.0579617242660721,0.026760477582846,0.8200552768487551,0.45991747370386,0.6999517222529367,0.0620656819026384,0.0397253787878787,0.8201551467855815,0.4592490980102035,0.6997992756480832,0.0615663322185061,0.0301767676767675,0.8151059085841694,0.4585795821181371,0.6994757704347833,0.0500278706800445,0.0301215277777777,-0.012037811222593897,-0.009603851010101,0,0,2
Ausgrid,lightgbm_quantile,0.8,6.0,2012-10,0.762633959075053,0.3905143211265114,0.6544054059527104,0.0607594310785054,0.0430673457838144,0.7930399719495091,0.3993820011470593,0.6535497080712492,0.0527641421224871,0.0193100358422939,0.7928084654943,0.3993550886990246,0.6534827975194084,0.0527502067824648,0.0102940361379004,0.7895965943827093,0.3991547985620678,0.651529557984563,0.0385222246197,0.0123302207130731,-0.014241917502787096,-0.006979815129220801,0,0,3
Ausgrid,lightgbm_quantile,0.8,6.0,2012-11,0.759410999628391,0.3776618887017908,0.6641512691438888,0.0606512448903753,0.0418313287514319,0.7884661835748792,0.3863380758038938,0.6630841933429813,0.0517837235228539,0.0192251461988304,0.7882432181345225,0.3865924291770993,0.6630298833926901,0.0514632107023411,0.0158065025252526,0.7858951133407656,0.3859766768047823,0.6613532922647037,0.0391838535860275,0.0174873737373737,-0.0125998699368264,-0.0017377724614566978,0,0,4
Ausgrid,lightgbm_quantile,0.8,6.0,2012-12,0.766641493149207,0.4341778788219242,0.759523414683245,0.0591937281979357,0.0397738609910209,0.8032442370626102,0.4463376989479753,0.7587282285613168,0.0525267918150106,0.022603555718475,0.803316161398209,0.4466048718710186,0.7586390330139517,0.0505731470493041,0.0082844574780057,0.7994412378178156,0.4446049912426227,0.7571498985609685,0.0377652209875211,0.0067329010087573,-0.014761570827489495,-0.0158706547097177,0,0,5
Ausgrid,lightgbm_quantile,0.8,6.0,2013-01,0.7474489337217247,0.4981642898238514,0.9473946563946536,0.0718627503865933,0.0572539075490522,0.7826603912683857,0.5098423527840525,0.9454320944691446,0.0566453590822454,0.0250047160913036,0.7825457618585249,0.5104017922419458,0.9453017531046564,0.0558564390261445,0.0189959538853785,0.7815680404214767,0.5086645119183942,0.9421716836708188,0.0419215485309454,0.0192800133022946,-0.014723810551299996,-0.005724702789008999,0,0,6
Ausgrid,lightgbm_quantile,0.8,6.0,2013-02,0.7708557294155121,0.4165379063092848,0.6899521473024014,0.0645101727982162,0.0338846049783549,0.8177655677655677,0.4317820475191136,0.6898686329110092,0.0622919652810957,0.0310250946969696,0.817646121993948,0.432648885957949,0.6898998382109273,0.0631609332696289,0.0219885247913598,0.8180965320910973,0.4323379597515308,0.6874631505830183,0.042366917502787,0.0222569955817377,-0.019925047778308697,-0.008768099115231898,0,0,7
Ausgrid,lightgbm_quantile,0.8,6.0,2013-03,0.7702219764807423,0.4030005858589263,0.6858702839829421,0.0641030136296616,0.0335938366034808,0.8110120653072967,0.4165731145006257,0.6853991767249311,0.0596724745567662,0.0240469208211143,0.8110502751105837,0.4171420552377409,0.6853776019223227,0.0595200848707159,0.0135021694019995,0.8117942424569353,0.4142183026271743,0.6813941785918257,0.0339891933685762,0.0162551877004338,-0.02568328118819,-0.007791733120680502,0,0,8
Ausgrid,lightgbm_quantile,0.8,6.0,2013-04,0.7622584541062802,0.3916983202516308,0.6398587824264047,0.0656215161649944,0.0400057273768614,0.7913368636194723,0.4005447358278255,0.638887451461592,0.0581661092530657,0.0154605263157895,0.7914181531029357,0.4010187224854374,0.6388333864879565,0.0583960423634336,0.0128472222222222,0.7856280193236715,0.3968966686260246,0.6370117217249647,0.0435247120029728,0.0163255360623781,-0.014641397250092898,0.0008650097465886016,1,0,9
Ausgrid,lightgbm_quantile,0.8,6.0,2013-05,0.7494403387636207,0.4767587205859088,0.7925291088342085,0.0803129607652749,0.0537135572552932,0.7831683568885532,0.4873264463795974,0.7908858356900552,0.0689453195238608,0.0282293435200905,0.7836178839860467,0.4878447796511934,0.7907750902028,0.0681541518322724,0.0231890209394454,0.7796800266120042,0.4845031796806689,0.7861696320432041,0.049758603948646,0.0277282588190908,-0.019186715575214806,-0.0005010847009996981,0,0,10
Ausgrid,lightgbm_quantile,0.8,6.0,2013-06,0.7343575808249722,0.6095876571299816,1.0312901788644104,0.0883291527313266,0.0681701030927836,0.7776175213675214,0.624488379436821,1.0283192976068196,0.0696650873281308,0.0313413742690058,0.7779984206614642,0.624756228237943,1.0282045808880438,0.0691494797473058,0.024905303030303,0.775685154217763,0.6220598005660485,1.0220842967359434,0.0432436826458565,0.0288301832760595,-0.026421404682274302,-0.0025111909929463015,0,0,11
Ausgrid,lightgbm_quantile,0.9,1.0,2012-07,0.8685560290574316,0.8146450118253977,1.2162265347478751,0.0390508684863523,0.0423356549364614,0.8915381019167835,0.8240251295017124,1.214690124195324,0.028693314633006,0.0144300603659687,0.8917336462041932,0.8236297717562748,1.2146254007885475,0.0286730859136188,0.0116660557184751,0.8918640090624663,0.8246473654198782,1.2128014063676813,0.0189489157406408,0.0113605816226783,-0.0097443988923652,-0.0030694787432904,0,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2012-08,0.8725972776638976,0.7654283490489399,1.115878484148957,0.0391956162117452,0.043931757086999,0.9031718631999136,0.7788814041681792,1.1148350083887295,0.0276962635307656,0.0075490522115064,0.9028212320638688,0.7782155933801213,1.1147269907197157,0.0273681087495954,0.003992171288436,0.9046418168087172,0.7797331607972543,1.112690545573031,0.017258244326968,0.0057154203323558,-0.0104380192037976,-0.0018336318791506,0,0,1
Ausgrid,lightgbm_quantile,0.9,1.0,2012-09,0.8835237829803048,0.5829374886742852,0.8202620140101238,0.0346293199554069,0.0228693181818182,0.9113991081382384,0.5955081810542113,0.8204620037515226,0.0316657376439985,0.0177241161616161,0.9111041434411,0.5948762182761023,0.8202852450390878,0.0308783909327387,0.0154592803030302,0.9098731884057972,0.5946341837089179,0.8197192974094757,0.0244867149758454,0.0187342171717171,-0.007179022668153099,0.0010101010101009993,1,0,2
Ausgrid,lightgbm_quantile,0.9,1.0,2012-10,0.8792278023519258,0.5320118099264293,0.7766377945501528,0.0348702664796633,0.0249236314760508,0.8990924047901607,0.5403421712831044,0.7759641344435416,0.029346477505664,0.0069019996227127,0.8991148811450355,0.5398916732774094,0.7759132052939125,0.0290974394936526,0.0021921073051768,0.8969234365447549,0.5384692647130785,0.7739244662943554,0.0196632142985579,0.0043398736282008,-0.0096832632071061,-0.0025621259945119,0,0,3
Ausgrid,lightgbm_quantile,0.9,1.0,2012-11,0.8786696395392047,0.5204784245272073,0.7867098250940855,0.0349266072092159,0.0254024621212121,0.895849591230026,0.5279870684444401,0.7858977834847378,0.0294895020438498,0.0078642787524366,0.8957102378298031,0.5277299744491126,0.7858775393855334,0.0291922147900408,0.0056486254295532,0.8945048309178744,0.5256891785447962,0.7835835087052558,0.0183110367892976,0.0086410984848485,-0.0111784652545522,0.0007768197324119,1,0,4
