dataset,forecaster,scheme,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
Ausgrid,lightgbm_quantile,DemandTertile,2012-07,0.03921719351242493,0.01448252688172047,0.00965269536447663,0.026949149494731556,0.01707661290322582,0.008958175998849238,-0.012268044017693377,0.0025940860215053485,-0.0006945193656273923,1,0
Ausgrid,lightgbm_quantile,DemandTertile,2012-08,0.03799537886143775,0.010076572173346343,0.007128151184953389,0.02584780810587261,0.011196236559139705,0.008285683460998996,-0.012147570755565142,0.001119664385793362,0.0011575322760456076,1,1
Ausgrid,lightgbm_quantile,DemandTertile,2012-09,0.040674934968413214,0.02041666666666664,0.01521042363433663,0.035374860646599754,0.02068055555555548,0.014276755852842762,-0.00530007432181346,0.0002638888888888413,-0.0009336677814938688,1,0
Ausgrid,lightgbm_quantile,DemandTertile,2012-10,0.03663466033732513,0.004233870967741971,0.0029075412665875914,0.027394181321250047,0.008346909959813242,0.00485399359873418,-0.009240479016075085,0.004113038992071272,0.0019464523321465889,1,1
Ausgrid,lightgbm_quantile,DemandTertile,2012-11,0.03705174656261614,0.009388888888888891,0.006816703827573432,0.02535535117056858,0.009166666666666656,0.00677489780750655,-0.01169639539204756,-0.00022222222222223476,-4.180602006688232e-05,0,0
Ausgrid,lightgbm_quantile,DemandTertile,2012-12,0.03976786420685438,0.0027397632236342284,0.0019050958391771814,0.025716546193404542,0.006439393939393967,0.004898946308483456,-0.014051318013449839,0.0036996307157597386,0.0029938504693062746,1,1
Ausgrid,lightgbm_quantile,DemandTertile,2013-01,0.0436306505556155,0.009901433691756334,0.006753245585643956,0.02799564857769627,0.010682089714347809,0.00608120257489125,-0.015635001977919227,0.0007806560225914749,-0.0006720430107527058,1,0
Ausgrid,lightgbm_quantile,DemandTertile,2013-02,0.04267399267399266,0.010148809523809477,0.00693581780538298,0.029577261506609318,0.006614583333333313,0.0047036749482401675,-0.013096731167383344,-0.003534226190476164,-0.002232142857142813,0,0
Ausgrid,lightgbm_quantile,DemandTertile,2013-03,0.040812565181429124,0.008649193548387002,0.006779767684395923,0.024473603768835183,0.009132996632996604,0.004979411658934758,-0.01633896141259394,0.000483803084609602,-0.0018003560254611648,1,0
Ausgrid,lightgbm_quantile,DemandTertile,2013-04,0.04022435897435898,0.007147867564534227,0.005743682645856589,0.02930602006688964,0.009652777777777843,0.008663136380527727,-0.010918338907469335,0.0025049102132436163,0.002919453734671139,1,1
Ausgrid,lightgbm_quantile,DemandTertile,2013-05,0.04190311791994822,0.014180107526881813,0.011632862228935226,0.03089419930233396,0.01881048387096773,0.01645179271406482,-0.011008918617614258,0.004630376344085918,0.004818930485129595,1,1
Ausgrid,lightgbm_quantile,DemandTertile,2013-06,0.04273272017837236,0.015270833333333345,0.01190310293571164,0.030309364548495,0.020770833333333405,0.01458101077666301,-0.012423355629877359,0.00550000000000006,0.0026779078409513695,1,1
London,lightgbm_quantile,DemandTertile,2013-03,0.03546942888085434,0.009987603039670279,0.005447311773018395,0.026555066486722154,0.006601729410097068,0.005182435330483858,-0.008914362394132184,-0.0033858736295732106,-0.0002648764425345366,0,0
London,lightgbm_quantile,DemandTertile,2013-04,0.03415706610426504,0.006813067044939336,0.003098180868052163,0.031951159574244145,0.012720694160608392,0.005377481345176462,-0.0022059065300208958,0.005907627115669056,0.002279300477124299,1,1
London,lightgbm_quantile,DemandTertile,2013-05,0.039486520588395746,0.007471970047706278,0.0048907087291822585,0.0393049938498812,0.015575629911690925,0.011704352152543913,-0.00018152673851454942,0.008103659863984647,0.006813643423361654,1,1
London,lightgbm_quantile,DemandTertile,2013-06,0.0424144679113881,0.006016013849816093,0.0032553787026595575,0.027999585417274618,0.00520722546499075,0.00215690391404645,-0.014414882494113483,-0.000808788384825343,-0.0010984747886131074,0,0
