scope,pair,metric,block_length,point_estimate,ci_lower,ci_upper,replicates,seed
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,relative_score_change,2,-0.001488922736105956,-0.002580899763370582,-0.0005611047874235906,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,picp_abs_gap_diff,3,-0.0035406400579793542,-0.005287918237040914,-0.0016273098780334688,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,macro_user_gap_diff,3,-0.0015465439633047088,-0.0024567879454436533,-0.0005701575319245798,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,max_segment_gap_diff,3,-0.005034037421891406,-0.007243139154632613,-0.0025709198952253882,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,l05_diff,3,-0.003290290692598057,-0.004786787389976308,-0.0016426708833680098,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,relative_score_change,3,-0.001488922736105956,-0.002487627529230098,-0.0005579338256902713,10000,20260729
primary_80_1h,ERW-User - User-CQR,picp_abs_gap_diff,2,-0.0032048387970413077,-0.005217020315439677,-0.001243098204098134,10000,20260729
primary_80_1h,ERW-User - User-CQR,macro_user_gap_diff,2,-0.004087290316692737,-0.005472933446359674,-0.002748103354308122,10000,20260729
primary_80_1h,ERW-User - User-CQR,max_segment_gap_diff,2,-0.004844746373377575,-0.007518993597345234,-0.002112746730772206,10000,20260729
primary_80_1h,ERW-User - User-CQR,l05_diff,2,-0.004466018345035155,-0.006373649643236554,-0.0025256437612070845,10000,20260729
primary_80_1h,ERW-User - User-CQR,relative_score_change,2,-0.003979113395156039,-0.005622047200830041,-0.0024706314350822307,10000,20260729
primary_80_1h,ERW-User - User-CQR,picp_abs_gap_diff,3,-0.0032048387970413077,-0.005089568656544039,-0.0010745472576045084,10000,20260729
primary_80_1h,ERW-User - User-CQR,macro_user_gap_diff,3,-0.004087290316692737,-0.005422104439412162,-0.0026882948137788285,10000,20260729
primary_80_1h,ERW-User - User-CQR,max_segment_gap_diff,3,-0.004844746373377575,-0.007379212730397763,-0.0020013340693145324,10000,20260729
primary_80_1h,ERW-User - User-CQR,l05_diff,3,-0.004466018345035155,-0.0062952829050556235,-0.0024148807510333244,10000,20260729
primary_80_1h,ERW-User - User-CQR,relative_score_change,3,-0.003979113395156039,-0.0055422975965878415,-0.0024277169920825744,10000,20260729
