dataset,configuration,coverage,horizon_hours,window,window_order,user_weight,efficiency_weight,selected_policy,router_loss,oracle_loss,oracle_policy,router_macro_user_abs_coverage_gap,router_max_abs_cluster_coverage_gap,router_normalized_interval_score,loss__rolling_global_norm,loss__rolling_group_norm,loss__rolling_user_norm,cv_mean_gain_over_global__rolling_global_norm,cv_mean_gain_over_global__rolling_group_norm,cv_mean_gain_over_global__rolling_user_norm,cv_lower_gain__rolling_global_norm,cv_lower_gain__rolling_group_norm,cv_lower_gain__rolling_user_norm,mean_fold_policy,latest_fold_policy,forecaster,previous_window_policy,follow_the_leader_policy,best_fixed_policy
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,0.5,0.0,rolling_user_norm,0.0318347402509832,0.0318347402509832,rolling_user_norm,0.0409406804042147,0.0227288000977518,3.080677874443905,0.0441346808420699,0.0396178013343598,0.0318347402509832,0.0,0.0044234270528606,0.0089226302291233,0.0,0.0035341679220908,0.0074846188010039,rolling_user_norm,rolling_user_norm,LightGBM,rolling_global_norm,rolling_global_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,0.5,0.0,rolling_user_norm,0.0207144870528022,0.0207144870528022,rolling_user_norm,0.0358097781134246,0.0056191959921798,2.8001148191102465,0.0372130991880752,0.0305216435037612,0.0207144870528022,0.0,0.0070485914549232,0.0180573874358302,0.0,0.0059480341430582,0.0163385790755294,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,0.5,0.0,rolling_user_norm,0.0400746992289111,0.0400746992289111,rolling_user_norm,0.0500278706800445,0.0301215277777777,2.079049500617845,0.0508955303452585,0.0458715499476368,0.0400746992289111,0.0,0.0052000553555902,0.0151813550972973,0.0,0.0046037453686045,0.0130434951545574,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,0.5,0.0,rolling_user_norm,0.0254262226663865,0.0254262226663865,rolling_user_norm,0.0385222246197,0.0123302207130731,1.9440050721859847,0.0360370889823905,0.0315221214601826,0.0254262226663865,0.0,0.005348900532682,0.0146591533122568,0.0,0.0048006215524475,0.0131991813528007,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,0.5,0.0,rolling_user_norm,0.0283356136617006,0.0283356136617006,rolling_user_norm,0.0391838535860275,0.0174873737373737,1.9582514332831131,0.0355044348608421,0.0336348566137968,0.0283356136617006,0.0,0.0051436778200538,0.0127106121137222,0.0,0.003704006925197,0.0107000669098779,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,0.5,0.0,rolling_user_norm,0.0222490609981392,0.0222490609981392,rolling_user_norm,0.0377652209875211,0.0067329010087573,2.19201506930334,0.0375651737667428,0.0294288022636549,0.0222490609981392,0.0,0.0039419073171933,0.0112560585708469,0.0,0.0020743549599335,0.0082498284714702,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,0.5,0.0,rolling_user_norm,0.03060078091662,0.03060078091662,rolling_user_norm,0.0419215485309454,0.0192800133022946,2.737271934465692,0.0408250375867745,0.0374261964557615,0.03060078091662,0.0,0.0058803653702241,0.0134240807609967,0.0,0.003723630824633,0.0093806347154737,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,0.5,0.0,rolling_user_norm,0.0323119565422624,0.0323119565422624,rolling_user_norm,0.042366917502787,0.0222569955817377,2.0482421896305105,0.0466585299890326,0.0425747290304943,0.0323119565422624,0.0,0.0037027951072573,0.0140102244160785,0.0,0.00227575939098,0.0112389679117754,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-03,8,0.5,0.0,rolling_user_norm,0.025122190534505,0.025122190534505,rolling_user_norm,0.0339891933685762,0.0162551877004338,2.020244072968376,0.0418596976889403,0.0365111271363577,0.025122190534505,0.0,0.004659013740803,0.0136659104421046,0.0,0.0027071350930052,0.0111997593990392,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-04,9,0.5,0.0,rolling_user_norm,0.0299251240326755,0.0299251240326755,rolling_user_norm,0.0435247120029728,0.0163255360623781,1.9217700690702,0.0368133177844276,0.0356216322928279,0.0299251240326755,0.0,0.0021194780243413,0.0148876751314699,0.0,0.0014798318640258,0.0135023160108222,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
