dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,2,42,2013-04-17 00:00:00,2013-04-24 00:00:00,rolling_group_norm,167837,0.8020579490815494,0.3071393029655201,0.039965290737498,0.0097383720930231,2.246075981160267
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,2,42,2013-04-17 00:00:00,2013-04-24 00:00:00,rolling_user_norm,167837,0.7970828839886318,0.306660996208309,0.0413283570737342,0.0059678194044188,2.2501618584542
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,3,49,2013-04-24 00:00:00,2013-05-01 00:00:00,rolling_global_norm,167726,0.8002217903008478,0.2919572538373321,0.0432653562012016,0.0092074211233343,2.203960944015856
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,3,49,2013-04-24 00:00:00,2013-05-01 00:00:00,rolling_group_norm,167726,0.8000727376793103,0.2918960972018645,0.0432455378457248,0.0071016229168935,2.203945444869013
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,3,49,2013-04-24 00:00:00,2013-05-01 00:00:00,rolling_user_norm,167726,0.7915827003565339,0.2920672878670603,0.04423998370519,0.0117070593039175,2.205830898854041
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,1,35,2013-05-11 00:00:00,2013-05-18 00:00:00,rolling_global_norm,167987,0.7902992493466756,0.2798223242176009,0.0456743844906383,0.0134816628264209,2.1912041893102785
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,1,35,2013-05-11 00:00:00,2013-05-18 00:00:00,rolling_group_norm,167987,0.7902397209307863,0.2795918491756597,0.0454339083001621,0.0118539488966318,2.19110584658899
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,1,35,2013-05-11 00:00:00,2013-05-18 00:00:00,rolling_user_norm,167987,0.7854000607189842,0.2804379379535032,0.0367158595016954,0.0195121951219512,2.1868671938338946
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,2,42,2013-05-18 00:00:00,2013-05-25 00:00:00,rolling_global_norm,167923,0.794054417798634,0.2835258552017868,0.0471611813328699,0.0093707233919954,2.1655065006289864
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,2,42,2013-05-18 00:00:00,2013-05-25 00:00:00,rolling_group_norm,167923,0.7941616097854374,0.283279292368065,0.0470916344818714,0.0079703832752613,2.165432270831764
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,2,42,2013-05-18 00:00:00,2013-05-25 00:00:00,rolling_user_norm,167923,0.7907433764284821,0.2840865579923709,0.0350231801812757,0.0111113778780822,2.1606922235444586
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,3,49,2013-05-25 00:00:00,2013-06-01 00:00:00,rolling_global_norm,167871,0.7946339748973914,0.2772928947900313,0.0487882111287808,0.0129557377639587,2.137037124817379
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,3,49,2013-05-25 00:00:00,2013-06-01 00:00:00,rolling_group_norm,167871,0.7943659119204627,0.2770340160173249,0.0480074460554389,0.0088380412730044,2.1368731993179044
