dataset,configuration,coverage,horizon_hours,window,window_order,user_weight,efficiency_weight,selected_policy,router_loss,oracle_loss,oracle_policy,router_macro_user_abs_coverage_gap,router_max_abs_cluster_coverage_gap,router_normalized_interval_score,loss__rolling_global_norm,loss__rolling_group_norm,loss__rolling_user_norm,cv_mean_gain_over_global__rolling_global_norm,cv_mean_gain_over_global__rolling_group_norm,cv_mean_gain_over_global__rolling_user_norm,cv_lower_gain__rolling_global_norm,cv_lower_gain__rolling_group_norm,cv_lower_gain__rolling_user_norm
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.0,0.0,rolling_global_norm,0.0081409367900465,0.0081409367900465,rolling_global_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0081409367900465,0.0156126206664644,0.0151369261935421,0.0,-0.0013193713815834,-0.0019411583804778,0.0,-0.0061536381424566,-0.0077562375647649
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.0,0.01,rolling_global_norm,0.0350656585374452,0.0350656585374452,rolling_global_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0350656585374452,0.0425375740826178,0.0420329285194234,0.0,-0.0013193236040999,-0.0019133023436527,0.0,-0.0061537731828993,-0.0077255898563952
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.25,0.0,rolling_global_norm,0.0149730598127485,0.0149730598127485,rolling_global_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0149730598127485,0.0205808638943206,0.0179914612668371,0.0,-0.0010142125455938,-9.445310012667098e-05,0.0,-0.0046730929171494,-0.0043875763094999
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.25,0.01,rolling_global_norm,0.0418977815601472,0.0418977815601472,rolling_global_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0418977815601472,0.047505817310474,0.0448874635927184,0.0,-0.0010141647681103,-6.659706330149756e-05,0.0,-0.0046732281376317,-0.0043573753747522
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.5,0.0,rolling_global_norm,0.0218051828354504,0.0208459963401321,rolling_user_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0218051828354504,0.0255491071221768,0.0208459963401321,0.0,-0.0007090537096041,0.0017522521802245,0.0,-0.0031929984123997,-0.0010732567238832
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.5,0.01,rolling_global_norm,0.0487299045828491,0.0477419986660134,rolling_user_norm,0.0354694288808543,0.0081409367900465,2.6924721747398723,0.0487299045828491,0.0524740605383302,0.0477419986660134,0.0,-0.0007090059321206,0.0017801082170497,0.0,-0.0031931339500605,-0.0010440206061895
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.75,0.0,rolling_user_norm,0.0237005314134271,0.0237005314134271,rolling_user_norm,0.0265550664867221,0.0151369261935421,2.689600232588129,0.0286373058581523,0.030517350350033,0.0237005314134271,0.0,-0.0004038948736145,0.0035989574605757,0.0,-0.0017145673173841,0.0020264031853511
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,0.75,0.01,rolling_user_norm,0.0505965337393084,0.0505965337393084,rolling_user_norm,0.0265550664867221,0.0151369261935421,2.689600232588129,0.0555620276055511,0.0574423037661864,0.0505965337393084,0.0,-0.000403847096131,0.0036268134974009,0.0,-0.0017147035077847,0.0020528181328946
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,1.0,0.0,rolling_user_norm,0.0265550664867221,0.0265550664867221,rolling_user_norm,0.0265550664867221,0.0151369261935421,2.689600232588129,0.0354694288808543,0.0354855935778892,0.0265550664867221,0.0,-9.873603762492604e-05,0.0054456627409269,0.0,-0.0002749418215462,0.0040675531535342
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,1.0,0.01,rolling_user_norm,0.0534510688126034,0.0534510688126034,rolling_user_norm,0.0265550664867221,0.0151369261935421,2.689600232588129,0.062394150628253,0.0624105469940426,0.0534510688126034,0.0,-9.86882601414311e-05,0.0054735187777521,0.0,-0.0002750467290416,0.0040893035091882
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.0,0.0,rolling_global_norm,0.0043023705338883,0.0043023705338883,rolling_global_norm,0.034157066104265,0.0043023705338883,2.3583055990223287,0.0043023705338883,0.0053174869332636,0.0062633416067636,0.0,-0.0040529423151374,-0.0016816686024003,0.0,-0.0049769415332525,-0.0031143383240853
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.0,0.01,rolling_global_norm,0.0278854265241116,0.0278854265241116,rolling_global_norm,0.034157066104265,0.0043023705338883,2.3583055990223287,0.0278854265241116,0.0289004210763353,0.0298489939715595,0.0,-0.0040531208160591,-0.0016203118946431,0.0,-0.0049772088337199,-0.0030488046960983
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.25,0.0,rolling_user_norm,0.0126852960986337,0.0117660444264825,rolling_global_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0117660444264825,0.0124755844314932,0.0126852960986337,0.0,-0.0030192282636353,0.0015836752185045,0.0,-0.0037161205355022,0.0004506968940949
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.25,0.01,rolling_user_norm,0.0362709484634296,0.0353491004167058,rolling_global_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0353491004167058,0.036058518574565,0.0362709484634296,0.0,-0.0030194067645571,0.0016450319262617,0.0,-0.0037163877225244,0.0005160357153612
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.5,0.0,rolling_user_norm,0.0191072505905039,0.0191072505905039,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0192297183190767,0.0196336819297229,0.0191072505905039,0.0,-0.0019855142121333,0.0048490190394094,0.0,-0.0024553109053687,0.00401499753613
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.5,0.01,rolling_user_norm,0.0426929029552997,0.0426929029552997,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0428127743093,0.0432166160727947,0.0426929029552997,0.0,-0.001985692713055,0.0049103757471666,0.0,-0.0024555778671412,0.0040799976183316
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.75,0.0,rolling_user_norm,0.025529205082374,0.025529205082374,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0266933922116708,0.0267917794279526,0.025529205082374,0.0,-0.0009518001606312,0.0081143628603143,0.0,-0.0011945445493173,0.0075773354080514
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,0.75,0.01,rolling_user_norm,0.0491148574471699,0.0491148574471699,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0502764482018941,0.0503747135710243,0.0491148574471699,0.0,-0.0009519786615529,0.0081757195680715,0.0,-0.0011948108488112,0.0076416054775736
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,1.0,0.0,rolling_user_norm,0.0319511595742441,0.0319511595742441,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.034157066104265,0.0339498769261822,0.0319511595742441,0.0,8.191389087084065e-05,0.0113797066812192,0.0,6.440519649346096e-05,0.0111305887709098
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,1.0,0.01,rolling_user_norm,0.05553681193904,0.05553681193904,rolling_user_norm,0.0319511595742441,0.0062633416067636,2.3585652364795884,0.0577401220944883,0.057532811069254,0.05553681193904,0.0,8.173538994910486e-05,0.0114410633889764,0.0,6.416566646626627e-05,0.0111923014170222
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,0.0,0.0,rolling_global_norm,0.0099069260666642,0.0085815575925454,rolling_group_norm,0.0394865205883957,0.0099069260666642,2.128331565705464,0.0099069260666642,0.0085815575925454,0.0150864335391404,0.0,0.0006661301037828,0.0014161940355137,0.0,-0.0003844967034864,-0.000765804085997
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,0.0,0.01,rolling_global_norm,0.0311902417237188,0.0298644465714055,rolling_group_norm,0.0394865205883957,0.0099069260666642,2.128331565705464,0.0311902417237188,0.0298644465714055,0.0363865234949694,0.0,0.0006661891926455,0.001401792825149,0.0,-0.0003844934191948,-0.0007749169540449
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,2,0.25,0.0,rolling_global_norm,0.017301824697097,0.0162581154226952,rolling_group_norm,0.0394865205883957,0.0099069260666642,2.128331565705464,0.017301824697097,0.0162581154226952,0.0211410736168256,0.0,0.0004952967265078,0.0010288456431245,0.0,-0.0003008516566793,-0.0006180650866663
