kind,comparison,metric,block_months,estimate,ci_low,ci_high
paired_metric,aci_user_vs_static_user,delta_picp,2,0.0026025614609652597,-0.002024001586934022,0.007405999596527191
paired_metric,aci_user_vs_static_user,delta_mpiw,2,0.4150452307097163,-1.7939051931758117,2.5669097059233366
paired_metric,aci_user_vs_static_user,delta_winkler_interval_score,2,-2.7991159522276163,-3.9802985968635274,-1.7137210165205472
paired_metric,aci_user_vs_static_user,delta_macro_user_abs_coverage_gap,2,-0.028222975234524737,-0.030162147879077738,-0.026307244858746415
paired_metric,aci_user_vs_static_user,delta_max_abs_cluster_coverage_gap,2,-0.014475866509083926,-0.01825507981988591,-0.010720804098503067
paired_metric,aci_user_vs_static_user,relative_mpiw_change,2,0.008602970955286325,-0.018046099821842857,0.03664575012630733
paired_metric,aci_user_vs_static_user,relative_winkler_interval_score_change,2,-0.014317525032134256,-0.01724378898357602,-0.01146457249493568
paired_metric,aci_user_vs_static_user,delta_picp,3,0.0026025614609652597,-0.0024377826053407527,0.007895121270420597
paired_metric,aci_user_vs_static_user,delta_mpiw,3,0.4150452307097163,-1.8860493166122407,2.4270239992785014
paired_metric,aci_user_vs_static_user,delta_winkler_interval_score,3,-2.7991159522276163,-3.911669973794052,-1.8309010939338692
paired_metric,aci_user_vs_static_user,delta_macro_user_abs_coverage_gap,3,-0.028222975234524737,-0.03006182576198537,-0.026417128164634478
paired_metric,aci_user_vs_static_user,delta_max_abs_cluster_coverage_gap,3,-0.014475866509083926,-0.018342284080388706,-0.01073827051460175
paired_metric,aci_user_vs_static_user,relative_mpiw_change,3,0.008602970955286325,-0.021029200572211856,0.03926173895286892
paired_metric,aci_user_vs_static_user,relative_winkler_interval_score_change,3,-0.014317525032134256,-0.017107661554175004,-0.011663101533536111
paired_metric,pid_user_vs_aci_user,delta_picp,2,-0.0020390883241715864,-0.0028347405957309096,-0.001246719262862026
paired_metric,pid_user_vs_aci_user,delta_mpiw,2,-0.2747517811944401,-1.4740557942838455,0.7112164267924503
