dataset,configuration,coverage,horizon_hours,window,window_order,user_weight,efficiency_weight,selected_policy,router_loss,oracle_loss,oracle_policy,router_macro_user_abs_coverage_gap,router_max_abs_cluster_coverage_gap,router_normalized_interval_score,loss__rolling_global_norm,loss__rolling_group_norm,loss__rolling_user_norm,cv_mean_gain_over_global__rolling_global_norm,cv_mean_gain_over_global__rolling_group_norm,cv_mean_gain_over_global__rolling_user_norm,cv_lower_gain__rolling_global_norm,cv_lower_gain__rolling_group_norm,cv_lower_gain__rolling_user_norm,mean_fold_policy,latest_fold_policy,forecaster,previous_window_policy,follow_the_leader_policy,best_fixed_policy
Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,0.5,0.01,rolling_user_norm,0.045895704022515,0.045895704022515,rolling_user_norm,0.0308941993023339,0.016909518572825,2.19938450849355,0.0512197094033312,0.0495044475342026,0.045895704022515,0.0,0.0021196289969567,0.0076312231443623,0.0,0.0018995634329245,0.0055232661611266,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,0.5,0.01,rolling_user_norm,0.0512328216344408,0.0512328216344408,rolling_user_norm,0.030309364548495,0.0161512027491409,2.800253798562283,0.0576720835488096,0.0570205039659832,0.0512328216344408,0.0,0.0010770168984278,0.0064772221609854,0.0,-7.94187797424498e-05,0.0055593411371855,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,0.5,0.01,rolling_user_norm,0.0626415189954223,0.0626415189954223,rolling_user_norm,0.0409406804042147,0.0227288000977518,3.080677874443905,0.0750284938431294,0.0705061883689951,0.0626415189954223,0.0,0.0044275619262153,0.008988444409287,0.0,0.0035378319410594,0.0075490451580565,rolling_user_norm,rolling_user_norm,LightGBM,rolling_global_norm,rolling_global_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,0.5,0.01,rolling_user_norm,0.0487156352439047,0.0487156352439047,rolling_user_norm,0.0358097781134246,0.0056191959921798,2.8001148191102465,0.0653296870545571,0.0586318041512264,0.0487156352439047,0.0,0.0070544947579831,0.0181817335316179,0.0,0.0059520520927584,0.0164437620710711,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,0.5,0.01,rolling_user_norm,0.0608651942350896,0.0608651942350896,rolling_user_norm,0.0500278706800445,0.0301215277777777,2.079049500617845,0.0717052963675561,0.0666815520032221,0.0608651942350896,0.0,0.0052071416545678,0.0152880612122751,0.0,0.0046104525260775,0.01313160793144,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,0.5,0.01,rolling_user_norm,0.0448662733882464,0.0448662733882464,rolling_user_norm,0.0385222246197,0.0123302207130731,1.9440050721859847,0.0555410321331953,0.05102249181307,0.0448662733882464,0.0,0.0053489133475323,0.0147516004829131,0.0,0.0048000086752888,0.01327848240085,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,0.5,0.01,rolling_user_norm,0.0479181279945317,0.0479181279945317,rolling_user_norm,0.0391838535860275,0.0174873737373737,1.9582514332831131,0.0551432914505001,0.0532712005850823,0.0479181279945317,0.0,0.0051471507404242,0.0127992354043297,0.0,0.0037078533598117,0.01079892712855,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,0.5,0.01,rolling_user_norm,0.0441692116911726,0.0441692116911726,rolling_user_norm,0.0377652209875211,0.0067329010087573,2.19201506930334,0.0595319994579771,0.051392737967863,0.0441692116911726,0.0,0.0039449719794123,0.0113523567206597,0.0,0.0020751788244877,0.008338889801372,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,0.5,0.01,rolling_user_norm,0.0579735002612769,0.0579735002612769,rolling_user_norm,0.0419215485309454,0.0192800133022946,2.737271934465692,0.0682991241862519,0.0648953736172647,0.0579735002612769,0.0,0.0058836307903005,0.0134951574244513,0.0,0.0037256917875401,0.0094380504765885,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-02,7,0.5,0.01,rolling_user_norm,0.0527943784385675,0.0527943784385675,rolling_user_norm,0.042366917502787,0.0222569955817377,2.0482421896305105,0.0672213190527122,0.0631388642397883,0.0527943784385675,0.0,0.0037086302348751,0.0141486693504236,0.0,0.0022811040142287,0.0113846556568297,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
